timestamp_utc,timestamp_et,ticker,open,high,low,close,volume,adj_close
2023-08-25T13:30:00Z,2023-08-25 09:30:00,GOOGL,129.5399932861328,130.75999450683594,128.72000122070312,129.11000061035156,5883049,129.11000061035156
2023-08-25T14:30:00Z,2023-08-25 10:30:00,GOOGL,129.10000610351562,129.3000030517578,127.25,128.36000061035156,4969851,128.36000061035156
2023-08-25T15:30:00Z,2023-08-25 11:30:00,GOOGL,128.35000610351562,128.7449951171875,127.9800033569336,128.7100067138672,2753007,128.7100067138672
2023-08-25T16:30:00Z,2023-08-25 12:30:00,GOOGL,128.66000366210938,128.9600067138672,128.375,128.60009765625,1644743,128.60009765625
2023-08-25T17:30:00Z,2023-08-25 13:30:00,GOOGL,128.61500549316406,129.66000366210938,128.27999877929688,129.6199951171875,1676845,129.6199951171875
2023-08-25T18:30:00Z,2023-08-25 14:30:00,GOOGL,129.6199951171875,130.17999267578125,129.42999267578125,130.1300048828125,2115289,130.1300048828125
2023-08-25T19:30:00Z,2023-08-25 15:30:00,GOOGL,130.125,130.1699981689453,129.5399932861328,129.86000061035156,3275089,129.86000061035156
2023-08-28T13:30:00Z,2023-08-28 09:30:00,GOOGL,131.30999755859375,132.5399932861328,130.7899932861328,131.7050018310547,4943371,131.7050018310547
2023-08-28T14:30:00Z,2023-08-28 10:30:00,GOOGL,131.72000122070312,131.8292999267578,130.25999450683594,130.35000610351562,2389485,130.35000610351562
2023-08-28T15:30:00Z,2023-08-28 11:30:00,GOOGL,130.35000610351562,130.75999450683594,130.19400024414062,130.52499389648438,1589202,130.52499389648438
2023-08-28T16:30:00Z,2023-08-28 12:30:00,GOOGL,130.52000427246094,131.38999938964844,130.4499969482422,130.86500549316406,1432983,130.86500549316406
2023-08-28T17:30:00Z,2023-08-28 13:30:00,GOOGL,130.8699951171875,130.9499969482422,130.13999938964844,130.58999633789062,1419582,130.58999633789062
2023-08-28T18:30:00Z,2023-08-28 14:30:00,GOOGL,130.58999633789062,131.16000366210938,130.4499969482422,130.8000030517578,1530712,130.8000030517578
2023-08-28T19:30:00Z,2023-08-28 15:30:00,GOOGL,130.7899932861328,131.27999877929688,130.74000549316406,131.07000732421875,2552125,131.07000732421875
2023-08-29T13:30:00Z,2023-08-29 09:30:00,GOOGL,132.64999389648438,134.13999938964844,132.4199981689453,133.94000244140625,8826173,133.94000244140625
2023-08-29T14:30:00Z,2023-08-29 10:30:00,GOOGL,133.94000244140625,135.83929443359375,133.92999267578125,135.66000366210938,6743708,135.66000366210938
2023-08-29T15:30:00Z,2023-08-29 11:30:00,GOOGL,135.64999389648438,136.57000732421875,134.7899932861328,135.3699951171875,7163039,135.3699951171875
2023-08-29T16:30:00Z,2023-08-29 12:30:00,GOOGL,135.3699951171875,135.5,134.10000610351562,134.36000061035156,4005604,134.36000061035156
2023-08-29T17:30:00Z,2023-08-29 13:30:00,GOOGL,134.35000610351562,134.61000061035156,133.77999877929688,134.44000244140625,3664714,134.44000244140625
2023-08-29T18:30:00Z,2023-08-29 14:30:00,GOOGL,134.4499969482422,134.99000549316406,134.27000427246094,134.989501953125,2729595,134.989501953125
2023-08-29T19:30:00Z,2023-08-29 15:30:00,GOOGL,134.97999572753906,134.97999572753906,134.49000549316406,134.52999877929688,2719344,134.52999877929688
2023-08-30T13:30:00Z,2023-08-30 09:30:00,GOOGL,134.77999877929688,135.94000244140625,134.07000732421875,134.9499969482422,7367139,134.9499969482422
2023-08-30T14:30:00Z,2023-08-30 10:30:00,GOOGL,134.9499969482422,135.72999572753906,134.8000030517578,135.125,3214104,135.125
2023-08-30T15:30:00Z,2023-08-30 11:30:00,GOOGL,135.11000061035156,135.61000061035156,134.97000122070312,135.2449951171875,1853413,135.2449951171875
2023-08-30T16:30:00Z,2023-08-30 12:30:00,GOOGL,135.25,135.4199981689453,134.75,135.2949981689453,2737189,135.2949981689453
2023-08-30T17:30:00Z,2023-08-30 13:30:00,GOOGL,135.2949981689453,135.6999969482422,135.17999267578125,135.60000610351562,2057269,135.60000610351562
2023-08-30T18:30:00Z,2023-08-30 14:30:00,GOOGL,135.58999633789062,136.27499389648438,135.55999755859375,135.80499267578125,2737523,135.80499267578125
2023-08-30T19:30:00Z,2023-08-30 15:30:00,GOOGL,135.80999755859375,135.97999572753906,135.61000061035156,135.8800048828125,3166065,135.8800048828125
2023-08-31T13:30:00Z,2023-08-31 09:30:00,GOOGL,136.00999450683594,138.0,135.7899932861328,137.08999633789062,5914916,137.08999633789062
2023-08-31T14:30:00Z,2023-08-31 10:30:00,GOOGL,137.10000610351562,137.25,136.50999450683594,136.61900329589844,3942873,136.61900329589844
2023-08-31T15:30:00Z,2023-08-31 11:30:00,GOOGL,136.61500549316406,136.8699951171875,136.33999633789062,136.61000061035156,2343845,136.61000061035156
2023-08-31T16:30:00Z,2023-08-31 12:30:00,GOOGL,136.61000061035156,136.86000061035156,135.9199981689453,136.76499938964844,2511878,136.76499938964844
2023-08-31T17:30:00Z,2023-08-31 13:30:00,GOOGL,136.77000427246094,137.14999389648438,136.55999755859375,137.13119506835938,1671601,137.13119506835938
2023-08-31T18:30:00Z,2023-08-31 14:30:00,GOOGL,137.13499450683594,137.13999938964844,136.6699981689453,136.89999389648438,2016810,136.89999389648438
2023-08-31T19:30:00Z,2023-08-31 15:30:00,GOOGL,136.89999389648438,137.14999389648438,136.11000061035156,136.16000366210938,4348185,136.16000366210938
2023-09-01T13:30:00Z,2023-09-01 09:30:00,GOOGL,137.4550018310547,137.4550018310547,134.85000610351562,136.02999877929688,6692187,136.02999877929688
2023-09-01T14:30:00Z,2023-09-01 10:30:00,GOOGL,136.02000427246094,136.02999877929688,135.02999877929688,135.8000030517578,2664383,135.8000030517578
2023-09-01T15:30:00Z,2023-09-01 11:30:00,GOOGL,135.82000732421875,135.9250030517578,135.27000427246094,135.8000030517578,1497071,135.8000030517578
2023-09-01T16:30:00Z,2023-09-01 12:30:00,GOOGL,135.7949981689453,135.83999633789062,135.30999755859375,135.41000366210938,1395514,135.41000366210938
2023-09-01T17:30:00Z,2023-09-01 13:30:00,GOOGL,135.39999389648438,135.5399932861328,135.1197967529297,135.1197967529297,1330872,135.1197967529297
2023-09-01T18:30:00Z,2023-09-01 14:30:00,GOOGL,135.10499572753906,135.52999877929688,134.9499969482422,135.50999450683594,1667594,135.50999450683594
2023-09-01T19:30:00Z,2023-09-01 15:30:00,GOOGL,135.52000427246094,135.75,135.33999633789062,135.66000366210938,2468092,135.66000366210938
2023-09-05T13:30:00Z,2023-09-05 09:30:00,GOOGL,135.44000244140625,135.97000122070312,134.58009338378906,134.99099731445312,4798841,134.99099731445312
2023-09-05T14:30:00Z,2023-09-05 10:30:00,GOOGL,134.99000549316406,135.8000030517578,134.72999572753906,135.52000427246094,2453850,135.52000427246094
2023-09-05T15:30:00Z,2023-09-05 11:30:00,GOOGL,135.52000427246094,135.72999572753906,135.27000427246094,135.3350067138672,1140926,135.3350067138672
2023-09-05T16:30:00Z,2023-09-05 12:30:00,GOOGL,135.33999633789062,135.6699981689453,135.30999755859375,135.5399932861328,1182223,135.5399932861328
2023-09-05T17:30:00Z,2023-09-05 13:30:00,GOOGL,135.5399932861328,136.38999938964844,135.4499969482422,136.31939697265625,1777229,136.31939697265625
2023-09-05T18:30:00Z,2023-09-05 14:30:00,GOOGL,136.31900024414062,136.4199981689453,135.85000610351562,135.93600463867188,1803627,135.93600463867188
2023-09-05T19:30:00Z,2023-09-05 15:30:00,GOOGL,135.92999267578125,136.10000610351562,135.66000366210938,135.77000427246094,2048674,135.77000427246094
2023-09-06T13:30:00Z,2023-09-06 09:30:00,GOOGL,136.02000427246094,136.5299072265625,134.65499877929688,134.67999267578125,4435861,134.67999267578125
2023-09-06T14:30:00Z,2023-09-06 10:30:00,GOOGL,134.6699981689453,135.1699981689453,134.5,134.94000244140625,2120842,134.94000244140625
2023-09-06T15:30:00Z,2023-09-06 11:30:00,GOOGL,134.9250030517578,135.0399932861328,134.00999450683594,134.06500244140625,1659593,134.06500244140625
2023-09-06T16:30:00Z,2023-09-06 12:30:00,GOOGL,134.05999755859375,134.22999572753906,133.6649932861328,134.0399932861328,2122634,134.0399932861328
2023-09-06T17:30:00Z,2023-09-06 13:30:00,GOOGL,134.0449981689453,134.27000427246094,133.93499755859375,134.05999755859375,1569946,134.05999755859375
2023-09-06T18:30:00Z,2023-09-06 14:30:00,GOOGL,134.05059814453125,134.4499969482422,134.05059814453125,134.3498992919922,1827831,134.3498992919922
2023-09-06T19:30:00Z,2023-09-06 15:30:00,GOOGL,134.35000610351562,134.57000732421875,134.1999969482422,134.4600067138672,2361579,134.4600067138672
2023-09-07T13:30:00Z,2023-09-07 09:30:00,GOOGL,133.58999633789062,134.5399932861328,132.9499969482422,134.13099670410156,4212785,134.13099670410156
2023-09-07T14:30:00Z,2023-09-07 10:30:00,GOOGL,134.19000244140625,135.0500030517578,133.9600067138672,134.57000732421875,2224349,134.57000732421875
2023-09-07T15:30:00Z,2023-09-07 11:30:00,GOOGL,134.55499267578125,134.99000549316406,133.6199951171875,134.7550048828125,1948116,134.7550048828125
2023-09-07T16:30:00Z,2023-09-07 12:30:00,GOOGL,134.75799560546875,135.25999450683594,134.58999633789062,135.11500549316406,1248283,135.11500549316406
2023-09-07T17:30:00Z,2023-09-07 13:30:00,GOOGL,135.1199951171875,135.50999450683594,134.9199981689453,135.1999969482422,1363117,135.1999969482422
2023-09-07T18:30:00Z,2023-09-07 14:30:00,GOOGL,135.19000244140625,135.55499267578125,135.08999633789062,135.52000427246094,1372827,135.52000427246094
2023-09-07T19:30:00Z,2023-09-07 15:30:00,GOOGL,135.52000427246094,135.5800018310547,135.0800018310547,135.26499938964844,2480045,135.26499938964844
2023-09-08T13:30:00Z,2023-09-08 09:30:00,GOOGL,134.91000366210938,136.1699981689453,134.85000610351562,135.9499969482422,3948425,135.9499969482422
2023-09-08T14:30:00Z,2023-09-08 10:30:00,GOOGL,135.97000122070312,136.18499755859375,135.42999267578125,136.0399932861328,2497674,136.0399932861328
2023-09-08T15:30:00Z,2023-09-08 11:30:00,GOOGL,136.0500030517578,136.43809509277344,135.9600067138672,136.22999572753906,2385952,136.22999572753906
2023-09-08T16:30:00Z,2023-09-08 12:30:00,GOOGL,136.22999572753906,136.33999633789062,135.9199981689453,136.23719787597656,1518284,136.23719787597656
2023-09-08T17:30:00Z,2023-09-08 13:30:00,GOOGL,136.24000549316406,136.66000366210938,136.02000427246094,136.4199981689453,2293440,136.4199981689453
2023-09-08T18:30:00Z,2023-09-08 14:30:00,GOOGL,136.41299438476562,136.52049255371094,135.72999572753906,135.79150390625,1933127,135.79150390625
2023-09-08T19:30:00Z,2023-09-08 15:30:00,GOOGL,135.7899932861328,136.53990173339844,135.72000122070312,136.41000366210938,2937018,136.41000366210938
2023-09-11T13:30:00Z,2023-09-11 09:30:00,GOOGL,136.5399932861328,137.47999572753906,136.33050537109375,136.44000244140625,4913305,136.44000244140625
2023-09-11T14:30:00Z,2023-09-11 10:30:00,GOOGL,136.4499969482422,136.4600067138672,135.78500366210938,136.38999938964844,2425955,136.38999938964844
2023-09-11T15:30:00Z,2023-09-11 11:30:00,GOOGL,136.39500427246094,136.55999755859375,135.9199981689453,136.52999877929688,1828504,136.52999877929688
2023-09-11T16:30:00Z,2023-09-11 12:30:00,GOOGL,136.52999877929688,136.89999389648438,136.25999450683594,136.81500244140625,1482364,136.81500244140625
2023-09-11T17:30:00Z,2023-09-11 13:30:00,GOOGL,136.82000732421875,137.16000366210938,136.77000427246094,137.10000610351562,1697406,137.10000610351562
2023-09-11T18:30:00Z,2023-09-11 14:30:00,GOOGL,137.10000610351562,137.11000061035156,136.7126007080078,137.06500244140625,1451284,137.06500244140625
2023-09-11T19:30:00Z,2023-09-11 15:30:00,GOOGL,137.07000732421875,137.2100067138672,136.72999572753906,136.92999267578125,2132657,136.92999267578125
2023-09-12T13:30:00Z,2023-09-12 09:30:00,GOOGL,136.25999450683594,136.87010192871094,135.86000061035156,136.0,3807999,136.0
2023-09-12T14:30:00Z,2023-09-12 10:30:00,GOOGL,136.0,136.30499267578125,135.4600067138672,135.92999267578125,2278380,135.92999267578125
2023-09-12T15:30:00Z,2023-09-12 11:30:00,GOOGL,135.9250030517578,136.22500610351562,135.7100067138672,136.08999633789062,1792399,136.08999633789062
2023-09-12T16:30:00Z,2023-09-12 12:30:00,GOOGL,136.0850067138672,136.19000244140625,135.7519989013672,136.08999633789062,1047754,136.08999633789062
2023-09-12T17:30:00Z,2023-09-12 13:30:00,GOOGL,136.10000610351562,136.1968994140625,135.63499450683594,135.81500244140625,1713828,135.81500244140625
2023-09-12T18:30:00Z,2023-09-12 14:30:00,GOOGL,135.81500244140625,135.9499969482422,135.19000244140625,135.3000030517578,1789850,135.3000030517578
2023-09-12T19:30:00Z,2023-09-12 15:30:00,GOOGL,135.3000030517578,135.47000122070312,135.22999572753906,135.35000610351562,2227032,135.35000610351562
2023-09-13T13:30:00Z,2023-09-13 09:30:00,GOOGL,135.08999633789062,135.4149932861328,134.14999389648438,135.35000610351562,4309681,135.35000610351562
2023-09-13T14:30:00Z,2023-09-13 10:30:00,GOOGL,135.3699951171875,135.72000122070312,135.22000122070312,135.63999938964844,2367422,135.63999938964844
2023-09-13T15:30:00Z,2023-09-13 11:30:00,GOOGL,135.63999938964844,136.16000366210938,135.0500030517578,136.1199951171875,1806720,136.1199951171875
2023-09-13T16:30:00Z,2023-09-13 12:30:00,GOOGL,136.1300048828125,136.55999755859375,135.80999755859375,136.12820434570312,1932731,136.12820434570312
2023-09-13T17:30:00Z,2023-09-13 13:30:00,GOOGL,136.1300048828125,136.7187957763672,136.07009887695312,136.44000244140625,1714748,136.44000244140625
2023-09-13T18:30:00Z,2023-09-13 14:30:00,GOOGL,136.44140625,136.5,135.9499969482422,136.46499633789062,1854393,136.46499633789062
2023-09-13T19:30:00Z,2023-09-13 15:30:00,GOOGL,136.47999572753906,136.89999389648438,136.38999938964844,136.69000244140625,2543022,136.69000244140625
2023-09-14T13:30:00Z,2023-09-14 09:30:00,GOOGL,137.60000610351562,138.0,136.24000549316406,136.9499969482422,4945833,136.9499969482422
2023-09-14T14:30:00Z,2023-09-14 10:30:00,GOOGL,136.9499969482422,138.28500366210938,136.92999267578125,137.8249969482422,3839930,137.8249969482422
2023-09-14T15:30:00Z,2023-09-14 11:30:00,GOOGL,137.82000732421875,138.4149932861328,137.5800018310547,138.00999450683594,2589612,138.00999450683594
2023-09-14T16:30:00Z,2023-09-14 12:30:00,GOOGL,138.0050048828125,138.69500732421875,137.83999633789062,138.32000732421875,1937489,138.32000732421875
2023-09-14T17:30:00Z,2023-09-14 13:30:00,GOOGL,138.3300018310547,138.6072998046875,138.1300048828125,138.1300048828125,1566282,138.1300048828125
2023-09-14T18:30:00Z,2023-09-14 14:30:00,GOOGL,138.1199951171875,138.5800018310547,138.0500030517578,138.1199951171875,3261542,138.1199951171875
2023-09-14T19:30:00Z,2023-09-14 15:30:00,GOOGL,138.1199951171875,138.5,137.97000122070312,138.10000610351562,2902239,138.10000610351562
2023-09-15T13:30:00Z,2023-09-15 09:30:00,GOOGL,138.25999450683594,138.52000427246094,136.8800048828125,137.63999938964844,9094086,137.63999938964844
2023-09-15T14:30:00Z,2023-09-15 10:30:00,GOOGL,137.6300048828125,137.7949981689453,136.47999572753906,137.22000122070312,3654767,137.22000122070312
2023-09-15T15:30:00Z,2023-09-15 11:30:00,GOOGL,137.2100067138672,137.50999450683594,136.97000122070312,137.38499450683594,1972993,137.38499450683594
2023-09-15T16:30:00Z,2023-09-15 12:30:00,GOOGL,137.38999938964844,137.8000030517578,136.90150451660156,136.9550018310547,3722992,136.9550018310547
2023-09-15T17:30:00Z,2023-09-15 13:30:00,GOOGL,136.9499969482422,137.32000732421875,136.66000366210938,136.9199981689453,2218190,136.9199981689453
2023-09-15T18:30:00Z,2023-09-15 14:30:00,GOOGL,136.9199981689453,137.3800048828125,136.80999755859375,137.25999450683594,2214435,137.25999450683594
2023-09-15T19:30:00Z,2023-09-15 15:30:00,GOOGL,137.27000427246094,137.5500030517578,136.86000061035156,137.38999938964844,3364348,137.38999938964844
2023-09-18T13:30:00Z,2023-09-18 09:30:00,GOOGL,136.61000061035156,139.16000366210938,136.61000061035156,138.9499969482422,6782103,138.9499969482422
2023-09-18T14:30:00Z,2023-09-18 10:30:00,GOOGL,138.96499633789062,138.97999572753906,138.1300048828125,138.3000030517578,3082701,138.3000030517578
2023-09-18T15:30:00Z,2023-09-18 11:30:00,GOOGL,138.30479431152344,138.77999877929688,138.17999267578125,138.3800048828125,1923218,138.3800048828125
2023-09-18T16:30:00Z,2023-09-18 12:30:00,GOOGL,138.38999938964844,138.50999450683594,137.88999938964844,138.1300048828125,1580891,138.1300048828125
2023-09-18T17:30:00Z,2023-09-18 13:30:00,GOOGL,138.13999938964844,138.51499938964844,138.00999450683594,138.4600067138672,1253042,138.4600067138672
2023-09-18T18:30:00Z,2023-09-18 14:30:00,GOOGL,138.4600067138672,138.67999267578125,138.11000061035156,138.4759979248047,1873790,138.4759979248047
2023-09-18T19:30:00Z,2023-09-18 15:30:00,GOOGL,138.47999572753906,138.48500061035156,138.05999755859375,138.1999969482422,2267261,138.1999969482422
2023-09-19T13:30:00Z,2023-09-19 09:30:00,GOOGL,137.4199981689453,138.41000366210938,137.17999267578125,137.69000244140625,4257847,137.69000244140625
2023-09-19T14:30:00Z,2023-09-19 10:30:00,GOOGL,137.69500732421875,137.69500732421875,137.11000061035156,137.23890686035156,2427342,137.23890686035156
2023-09-19T15:30:00Z,2023-09-19 11:30:00,GOOGL,137.22000122070312,137.3350067138672,136.6199951171875,136.9600067138672,1768313,136.9600067138672
2023-09-19T16:30:00Z,2023-09-19 12:30:00,GOOGL,136.9600067138672,137.49000549316406,136.66000366210938,137.27000427246094,1450388,137.27000427246094
2023-09-19T17:30:00Z,2023-09-19 13:30:00,GOOGL,137.27999877929688,138.0399932861328,137.27499389648438,137.75999450683594,1733073,137.75999450683594
2023-09-19T18:30:00Z,2023-09-19 14:30:00,GOOGL,137.75999450683594,138.13999938964844,137.5399932861328,137.92999267578125,1468880,137.92999267578125
2023-09-19T19:30:00Z,2023-09-19 15:30:00,GOOGL,137.94000244140625,138.2050018310547,137.86500549316406,138.0500030517578,2378773,138.0500030517578
2023-09-20T13:30:00Z,2023-09-20 09:30:00,GOOGL,138.0800018310547,138.0800018310547,136.02999877929688,136.47999572753906,5198171,136.47999572753906
2023-09-20T14:30:00Z,2023-09-20 10:30:00,GOOGL,136.48269653320312,136.67999267578125,135.25,135.3000030517578,4014232,135.3000030517578
2023-09-20T15:30:00Z,2023-09-20 11:30:00,GOOGL,135.2899932861328,135.98500061035156,135.22999572753906,135.75999450683594,2353987,135.75999450683594
2023-09-20T16:30:00Z,2023-09-20 12:30:00,GOOGL,135.75999450683594,136.10000610351562,135.65499877929688,135.82200622558594,1456905,135.82200622558594
